Name,Url,DataSource,ExtractedDate,Firm_,Phone,Fax,Address,Contact,Position,Mobile_No_,PostalAddress,Email,Conditions,Maintenance_and_General_Works_Group,Traffic_Management_Services_contract_Groups,PrequalificationCategories,Letter,ABN_Found,ABNStatus,YearsInOperation,RegisteredDate,EntityType,RegisteredName,State
Chief Group Solutions Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7655ef008e0ea07eca258b1d001ce6ff?OpenDocument,Fresh,21/01/2026 15:57,Chief Group Solutions Pty Ltd,03 5367 6421,,"4300 Geelong-Bacchus Marsh Road , Parwan VIC 3340",Mr Sam Cook,Managing Director,0400 777 308,"PO BOX 592, Bacchus Marsh VIC 3340&nbsp",sam@chiefgroup.com.au,,,,"B1, F025, R3",C,,,,,,,
Chris O'Brien &amp; Company Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1d846e1224b9eb30ca257b420003248b?OpenDocument,Fresh,21/01/2026 15:57,Chris O'Brien & Company Pty Ltd,03 5174 9911,(03) 5174 0011,"13A Church Street, Traralgon, VIC 3844",Mr Christopher O'Brien,Principal Engineer / Director,,"P O Box 18, Traralgon, Vic 3844&nbsp",cob@chrisobrien.com.au,,,,"CS, H-SIMPLE, PE, SH, SS, STRUCTURES-COMPLEX, STRUCTURES-SIMPLE",C,,,,,,,
Chris Smith &amp; Associates Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b03d7bd768715a07ca25835a00120a66?OpenDocument,Fresh,21/01/2026 15:57,Chris Smith & Associates Pty Ltd,03 5820 7700,,"Level 1, 135 Fryers Street, SHEPPARTON VIC 3630",Mr Scott Golightly,Managing Director,0448 221 880,"""As Above"", &nbsp",scott.golightly@csmith.com.au,,,,"H-SIMPLE, ROAD, RR, SH",C,,,,,,,
CHS Group Australia Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2a0fd2c180f638c4ca257d200004c7c2?OpenDocument,Fresh,21/01/2026 15:57,CHS Group Australia Pty Ltd,03 5381 6400,03 5381 1985,"22 Anderson Street, HORSHAM VIC 3402",Mr Timothy Hopper,Managing Director,0438 824 553,"""As Above"", &nbsp",tim.hopper@chsgroup.com.au,,,"Traffic Control Systems Supply & Maintenance; a: SSLC - Street Lighting & Conduit Installation, STCE 1 - Traffic Control Equipment 1","SSLC, STCE",C,,,,,,,
City of Whittlesea,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2becf0266868b44bca2585ca00822933?OpenDocument,Fresh,21/01/2026 15:57,City of Whittlesea,03 9217 2170,03 9409 9880,"25 Ferres Boulevard, SOUTH MORANG VIC 3758",Mr Anthony Kyrkou,Manager City Presentation,0436 433 872,"""As Above"", &nbsp",info@whittlesea.vic.gov.au,,,,,C,,,,,,,
City Wide Service Solutions Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8e17df385180dafaca256d6a0022b455?OpenDocument,Fresh,21/01/2026 15:57,City Wide Service Solutions Pty Ltd,(03) 9261 5000,,"294 Arden Street , NORTH MELBOURNE 3051",Ms Sarah Stubbs,Customer Development &Tenders Manager,0412 259422,"GPO Box 4969 , MELBOURNE VIC 3001&nbsp",citywide@citywide.com.au,,"Maintenance: Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW), Maintenance Works-Minor (M1); General Works: Road Surfacing Asphalt (G2-RSA)",,"B1, BW, F150, M1, M2-BW, M2-PW, M2-RW, PW, R3, ROAD, RSA, RW, WORKS-MINOR",C,,,,,,,
Citywide Utilities Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c3f3b951ce375532ca25861c00772a6d?OpenDocument,Fresh,21/01/2026 15:57,Citywide Utilities Pty Ltd,03 9397 0522,03 9397 0500,"24 Tennyson Street, WILLIAMSTOWN NORTH VIC 3016",Mr Brett McLeod,Project Manager,0439 386 295,"2/10 Crown Street, SOUTH GEELONG VIC 3220&nbsp",service@gmckay.com.au,Conditional: Unable to carry out civil and traffic management,,"Traffic Control Systems Supply & Maintenance; a: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","SCTV, SSLC, STCE, STS, STS1, STS2",C,,,,,,,
Civ2Con Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9f0e7bd9bfb3c2f2ca2583fc000c0508?OpenDocument,Fresh,21/01/2026 15:57,Civ2Con Pty Ltd,,,"Unit 6, 7 Dalton Road, THOMASTOWN VIC 3074",Mr Joe Orlando,General Manager,0447 505 338,"PO Box 1277, BUNDOORA VIC 3083&nbsp",sewerwater@civ2con.com.au,,,,"F002, R2",C,,,,,,,
Civforce Traffic Management Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/754ce985245a635eca2582de00246fa3?OpenDocument,Fresh,21/01/2026 15:57,Civforce Traffic Management Pty Ltd,(07) 3821 4522,(07) 3806 0944,"49 Chetwynd Street, LOGANHOLME QLD 4133",Mr Ryan Gondon,HSEQ Manager,0417 631 263,"""As Above"", &nbsp",ryan@civforce.com.au,Traffic Management  - Traffic Guidance Scheme (TGS) is Conditional - conditional requirements required to be fullfilled before full TGS level can be attained,,,,C,,,,,,,
Civil Force (Vic) Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a9b56829646e5804ca2582b8007b573e?OpenDocument,Fresh,21/01/2026 15:57,Civil Force (Vic) Pty Ltd,03 5241 9998,03 5222 7082,"100 Tannery Road, CHARLEMONT VIC 3217",Mr James Wilson,Project Manager,0447 545 037,"PO Box 425, BELMONT VIC 3216&nbsp",james@civilforcevic.com.au,,,,"F010, R1",C,,,,,,,
Civil Geotechnical Services**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f5e134f890bff1daca256d0a000740f1?OpenDocument,Fresh,21/01/2026 15:57,Dargan Hill Pty Ltd,97230744,,"6 Rose Avenue, CROYDON VIC 3136",Mr Peter Fry,,,"""As Above""&nbsp",pjf@civilgeotech.com.au,,,,"AND, FPD1, M1, ND1, PT1, PT2, RM1",C,,,,,,,
Civilworx Constructions Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/feba3e98532c77bdca2582c50009cd36?OpenDocument,Fresh,21/01/2026 15:57,Civilworx Constructions Pty Ltd,03 9460 2500,03 9460 2599,"28 Lucknow Crescent, THOMASTOWN VIC 3074",Mr Gary Gardiner,Director,0417 536 537,"""As Above"", &nbsp",ggardiner@civilworx.com.au,,,,"F015, R2",C,,,,,,,
CMW Geosciences Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/78d39a13a71e2a4aca258053001b6646?OpenDocument,Fresh,21/01/2026 15:57,CMW Geosciences Pty Ltd,(08) 6555 4920,,"Level 7 580 St Kilda Road, MELBOURNE VIC 3004",Mr Antonio Marakis,General Manager VIC,0421 137 884,"P O Box 33216, MELBOURNE VIC 3004&nbsp",antoniom@cmwgeo.com,"GT-PST pre-qualification level has been conditionally accepted, low strain dynamic pile testing only",,,"DES, FPD2, GT, GT-DES, GT-GWH, GT-INV, GT-PRE, GT-PST, GWH, INV, ND2, PILE, PRE, PST",C,,,,,,,
Coburns Earthmoving**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/963b6937a4ac2001ca25784c008193c0?OpenDocument,Fresh,21/01/2026 15:57,Harril Pty Ltd,(03) 5030 2234,(03) 5030 2942,"2639 Murray Valley Highway, Nyah VIC 3594",Mr Gary Saville,Operations Manager,0427 302 957,"P O Box 56, NYAH VIC &nbsp",admin@coburnsearthmoving.com.au,,,,"F010, R1",C,,,,,,,
Coffey Environments Pty Ltd**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6d479f8cb4b685f8ca25750000008854?OpenDocument,Fresh,21/01/2026 15:57,Coffey International Limited,(03) 9290 7000,(03) 9290 7499,"Level 1, 436 Johnston Street , Abbotsford VIC 3067",Ms Tasha Latham,Senior Associate Environmental Consultant,0427 589 669,"""As Above"", &nbsp",tasha.latham@coffey.com,,,,"E-EMS, EMS",C,,,,,,,
Coffey**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/bfb6f25e43f26e06ca257e9a001cb41e?OpenDocument,Fresh,21/01/2026 15:57,Coffey Environments Australia Pty Ltd,(03) 9290 7000,(03) 9290 7499,"Level 1, 436 Johnston Street, ABBOTSFORD VIC 3067",Mr Tasha Latham,Senior Associate Environmental Consultant,0427 589 669,"""As Above"", &nbsp",tasha.latham@coffey.com,,,,"CF, CI, EESM, EESW, SI",C,,,,,,,
Cogar Traffic**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0007176f59751dbfca257b97001abdbf?OpenDocument,Fresh,21/01/2026 15:57,Cogar Pty Ltd,(03) 9761 5333,(03) 9761 5433,"8 Southfork Drive, KILSYTH, VIC 3137",Mr Paul Nightingale,Traffic Management Supervisor,0499 400 770,"""As Above"", &nbsp",office@cogar.com.au,,,,,C,,,,,,,
COLAS Solutions Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/bbe721d90b305513ca25853d0083675d?OpenDocument,Fresh,21/01/2026 15:57,COLAS Solutions Pty Ltd,07 3081 4385,,"7, 6-10 Octal Street, YATALA QLD 4207",Mr Jason Williams,General Manager,0439 015 216,"P O Box 6065, YATALA DC QLD 4207&nbsp",jwilliams@colas.com.au,,General Works: Road Surfacing Sprayed Seal (G2-RSS),,"ROAD, RSS, SEAL",C,,,,,,,
Cole Civil**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f78bdb7e52b86072ca258472007ded3d?OpenDocument,Fresh,21/01/2026 15:57,Metro Asphalt Pty Ltd,03 8415 2300,03 8415 2315,"11 - 13 Spencer Street, THOMASTOWN VIC 3074",Mr Mark Centofanti,Director,0418 387 203,"""As Above"", &nbsp",markc@metgroup.com.au,,"Maintenance: Maintenance Pavements (M2-PW); General Works: General Works-Minor (G1), Road Surfacing Asphalt (G2-RSA)",,"M2-PW, PW, ROAD, RSA, WORKS-MINOR",C,,,,,,,
Colliers International Engineering &amp; Design (Vic) Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ec280b22a05558c9ca258950000fdc9a?OpenDocument,Fresh,21/01/2026 15:57,Colliers International Engineering & Design (Vic) Pty Ltd,03 9562 7424,,"Level 1, 1-5 Nantilla Road, NOTTING HILL VIC",Mr Karl Rogers,"State Director, Victoria",0409 813 403,"""As Above"", &nbsp",vic.edadmin@colliers.com,,,,"H-SIMPLE, ROAD, RR, SH, UR, WSRD",C,,,,,,,
Comar Constructions Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7954143a6192863cca25794c00065235?OpenDocument,Fresh,21/01/2026 15:57,Comar Constructions Pty Ltd,(03) 8786 1636,(03) 9707 0981,"163 Princes Highway, HALLAM VIC 3803",Mr Colin Plant,Director,0418 538 554,"P O Box 456, BEACONSFIELD VIC 3807&nbsp",colin@comar.com.au,,,,"B1, F002",C,,,,,,,
Comdain Civil Constructions Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b72b14f927f97b1bca257c120014cd07?OpenDocument,Fresh,21/01/2026 15:57,Comdain Civil Constructions Pty Ltd,(03) 8405 0000,(03) 9408 8254,"40 Willandra Drive, EPPING, VIC 3076",Mr Phil Wilson,Proposals Manager,,"P O Box 368, EPPING, VIC 3076&nbsp",pwilson@comdain.com.au,NPS worksite traffic management training requirements not fully met,,,"B1, F100, R2",C,,,,,,,
Complex Co. Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5071dee1a4173466ca258273001dc6b1?OpenDocument,Fresh,21/01/2026 15:57,Complex Co. Pty Ltd,(02) 6242 9911,(02) 6242 9922,"15 Baillieu Court, MITCHELL ACT 2911",Mr James Regan,CEO,0413 650 378,"PO Box 868 , MITCHELL ACT 2911&nbsp",regan.james@complexco.com.au,,,,"B3, F050, R3",C,,,,,,,
Complynow Consulting Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/267a0234b4243aa1ca258211001b08fd?OpenDocument,Fresh,21/01/2026 15:57,Complynow Consulting Pty Ltd,,,"9 Whitty Street, SUNSHINE VIC 3020",Ms Jovana Obradovic-Tantra,Managing Director,0400 991 671,"""As Above"", &nbsp",jovana@complynowconsulting.com.au,,,,"E-EMS, EMS",C,,,,,,,
Compusign Systems Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a587cd1827a06d0dca2582e200159084?OpenDocument,Fresh,21/01/2026 15:57,Compusign Systems Pty Ltd,03 9890 3400,03 9890 5400,"Factory 8 / 10 Clarice Road, BOX HILL VIC 3128",Mr Rod Riquelme,Managing Director,0422 313 418,"""As Above"", &nbsp",rodr@compusign.com.au,,,Traffic Control Systems Supply & Maintenance; a: SOED - Supply of On-Road Electronic Devices,"OF, ON, ON-ROAD, ROAD, SOED",C,,,,,,,
Conbi Contractors**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/35dd8ded85e4faa7ca25708f00256c63?OpenDocument,Fresh,21/01/2026 15:57,Conbi Nominees Pty Ltd,(03) 9308 1488,(03) 9308 1488,"20 -22 Technical Drive, CRAIGIEBURN VIC 3064",Mr Dean Biancon,CEO,0418 323 023,"""As Above"", &nbsp",conbi@bigpond.net.au,,Maintenance: Maintenance Pavements (M2-PW),,"M2-PW, PW",C,,,,,,,
Connor Civil Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c735e56d8d943572ca258195001b5b6a?OpenDocument,Fresh,21/01/2026 15:57,Connor Civil Pty Ltd,,,"15 Glenoe Drive, LARA VIC 3212",Mr John Connor,Director,0410 551 109,"""As Above"", &nbsp",connorcivil@hotmail.com,,"Maintenance: Maintenance Bridges (M2-BW), Maintenance Works-Minor (M1); General Works: General Works-Minor (G1), Noise Wall (G2-NW)",,"BW, M1, M2-BW, NW, WALL, WORKS-MINOR",C,,,,,,,
Construct Traffic Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ed6687e4569c5d1cca25748f0024ed15?OpenDocument,Fresh,21/01/2026 15:58,Construct Traffic Pty Ltd,1300 736 030,1300 738 060,"5, 42 Global Drive, TULLAMARINE VIC 3043",Mr Ronnie Bassi,Director,0419 910 607,"P O Box 311, ESSENDON NORTH, VIC 3043&nbsp",operations@constructtraffic.com.au,,,,,C,,,,,,,
Consulting Environmental Engineers**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/722449fd3b55b60eca256d0a00073e19?OpenDocument,Fresh,21/01/2026 15:58,CEE Pty Ltd,(03) 9429 4644,(03) 9428 0021,"90 Bridge Road, Richmond VIC 3121",Mr Ian Wallis,Director,,"PO BOX 201, RICHMOND VIC 3121&nbsp",wallis@cee.com.au,,,,"AIR, AQMD, E-AQMD",C,,,,,,,
Continent Geotech Services Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2244736307543d9dca2588770026651b?OpenDocument,Fresh,21/01/2026 15:58,Continent Geotech Services Pty Ltd,03 9465 9813,03 9465 7690,"14/337-339 Settlement Road, THOMASTOWN VIC 3074",Mr Sukhpreet Kang,Laboratory Manager,0452 226 939,"""As Above"", &nbsp",admin@continentgeotech.com.au,NA,,,"AND, PT1, PT2",C,,,,,,,
Controltech Solutions Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5d4d5f8f8d0b372eca258613008333e2?OpenDocument,Fresh,21/01/2026 15:58,Controltech Solutions Pty Ltd,1300 223 551,,"1/8 Gateway Drive, CARarrum Downs",Mr Chris Fortnam,General Manager,0418 727 271,"""As Above"", &nbsp",Chris@controltechsolutions.com.au,,,,,C,,,,,,,
Corangamite Shire Council,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0cbce08dc0fc5095ca257ae2001f149d?OpenDocument,Fresh,21/01/2026 15:58,Corangamite Shire Council,(03) 5593 7100,(03) 5593 2695,"181 Manifold Street, Camperdown, VIC 3260",Mr Lance Wade,Works Engineer,0428 101 773,"""As Above"", &nbsp",shire@corangamite.vic.gov.au,,,,,C,,,,,,,
Core Traffic Management Road and Rail Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b0f380ca1c461953ca2583ad0018a3f6?OpenDocument,Fresh,21/01/2026 15:58,Core Traffic Management Road and Rail Pty Ltd,,,"Floor 27, 101 Collins Street, MELBOURNE VIC 3000",Mr Elie Yamen,Operations,0401 660 204,"""As Above"", &nbsp",info@coretraffic.com.au,,,,,C,,,,,,,
Cossill &amp; Webley Consulting Engineers Australia**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5c281f6d13d16e4bca2583e5000ac754?OpenDocument,Fresh,21/01/2026 15:58,CW Urban Pty Ltd,03 8548 1560,,", Suite 2.04, 390 St Kilda Road , , MELBOURNE VIC 3004",Mr Ray Todd,Director,0419 995 254,"PO Box 33152, MELBOURNE VIC 3004&nbsp",melbourne@cosweb.com.au,,,,"H-SIMPLE, ROAD, SH, UR",C,,,,,,,
CPB Contractors Pty Limited,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/49ca98399ae1dc61ca257f41007d4ab0?OpenDocument,Fresh,21/01/2026 15:58,CPB Contractors Pty Limited,03 9228 7700,,"Level 6, 567 Collins Street , MELBOURNE VIC 3000",Mr Marcus Daniell,"QA & Systems Manager - Vic, SA & Tas",0408 784 314,"""As Above"", &nbsp",Marcus.Daniell@cpbcon.com.au,,"Maintenance: Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW)",,"B4, BW, F150+, M2-BW, M2-PW, M2-RW, PW, R5, RW",C,,,,,,,
Craig Civil Design Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b3c22df9b0bc7460ca257faa0026aa8a?OpenDocument,Fresh,21/01/2026 15:58,Craig Civil Design Pty Ltd,(03) 5995 4388,(03) 5995 5330,"3 Codrington Street, CRANBOURNE VIC 3977",Mr Stephen Craig,Director,0407 992 390,"P O BOX 1207, NARRE WARREN VIC 3805&nbsp",mail@craigcivil.com.au,,,,"H-SIMPLE, ROAD, RR, SH",C,,,,,,,
Crash Guardrail Installations Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/49374ebd7e7476d2ca2576eb0016f077?OpenDocument,Fresh,21/01/2026 15:58,Crash Guardrail Installations Pty Ltd,0419 330 004,(03) 9307 1286,"47 Cahill Street, BULLA VIC 3428",Mr Dale Hanson,Company Director,0419 330 004,"PO Box 74, BULLA VIC 3428 &nbsp",crash3@bigpond.com.au,,General Works: Guardfence (G2-GF),,GF,C,,,,,,,
Creo Civil Consultants Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/31bbc549bbba6ac5ca258c2a00102d3c?OpenDocument,Fresh,21/01/2026 15:58,Creo Civil Consultants Pty Ltd,,,"Level 17, 176 Wellington Parade, EAST MELBOURNE VIC 3002",Mr Mitch Trounce,Director,0439 254 546,"""As Above"", &nbsp",mitch.trounce@creocivil.com.au,,,,"H-SIMPLE, ROAD, RR, SH, UR",C,,,,,,,
Creo Structures Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/87fbcd14a5f2d678ca258b7a00138f46?OpenDocument,Fresh,21/01/2026 15:58,Creo Structures Pty Ltd,03 9417 7393,,"Level 17, 176 Wellington Parade, EAST MELBOURNE VIC 3002",Mr Tony Spencer,Managing Director,0417 384 299,"""As Above"", &nbsp",tony.spencer@creoconsultants.com.au,,,,"SS, STRUCTURES-SIMPLE",C,,,,,,,
Crossco Consulting Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9ae97e1b01d1d4d4ca256d0a00073f7b?OpenDocument,Fresh,21/01/2026 15:58,Crossco Consulting Pty Ltd,(03) 5152 6298,(03) 5152 7222,"154 Macleod Street, BAIRNSDALE VIC 3875",Mr Robert Supplitt,Managing Director,0408105199,"P O Box 858 , BAIRNSDALE VIC 3875&nbsp",rob@crossco.com.au,,,,"H-SIMPLE, ROAD, RR, SH, SS, STRUCTURES-SIMPLE, UR",C,,,,,,,
CSC Civil Constructions**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2d7e2c6bd65286b1ca25804a0011f1f1?OpenDocument,Fresh,21/01/2026 15:58,CSC Civil Constructions(Aust) Pty Ltd,(03) 8872 7100,(03) 8872 7111,"13 Trade Place, VERMONT VIC 3133",Mr Jamie Scoble,Director,0422 577 666,"""As Above"", &nbsp",admin@csccivil.com.au,,,,"F015, R2",C,,,,,,,
CT Civil Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b03a8924c7e5f068ca257d8c007b07b3?OpenDocument,Fresh,21/01/2026 15:58,CT Civil Pty Ltd,(03) 9431 1684,(03) 9431 1684,"Factory 2, 1 Brisbane Street, ELTHAM VIC 3095",Mr Kelvin Hsrris,Works Manager,0428 050 059,"""As Above"", &nbsp",traffic@ctcivil.com.au,,,,,C,,,,,,,
D'amico Family Trust &amp; Others**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/10e347d73eff18a2ca256d0a00075d4a?OpenDocument,Fresh,21/01/2026 15:58,Ratio Consultants Pty Ltd,(03) 9429 3111,(03) 9429 3011,"Level 5, 65 Dover Street, CREMORNE VIC 3121",Miss Maxine Krause,Executive Assistant,0414 312 611,"""As Above""&nbsp",maxinek@ratio.com.au,,,,"DBS, DMR, DSD, PAM, PRN, PRS, PSAD, ROAD, TAR, TOF, TOS, TPF, TSD, TTF",D,,,,,,,
D &amp; S Traffic Control Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/466de4fdbd130a63ca25827200814e02?OpenDocument,Fresh,21/01/2026 15:58,D & S Traffic Control Pty Ltd,,,"23 John Joseph Court , NARRE WARREN NORTH VIC 3804",Ms Dianna McLardy,Operations Manager,0499 416 516,"""As Above"", &nbsp",dnstraffic@outlook.com.au,,,,,D,,,,,,,
Dalton Consulting Engineers Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/07ada18257203620ca256d0a000740bf?OpenDocument,Fresh,21/01/2026 15:58,Dalton Consulting Engineers Pty Ltd,(03) 9813 7400,,"Level 3, 678 Victoria Street, RICHMOND VIC 3121",Mr Jonathan McGrath,Senior Associate,0403 061 151,"""As Above""&nbsp",info@dceng.com.au,Restriction on freeway design,,,"CH, FD, H-COMPLEX, H-SIMPLE, ROAD, RR, SH, UR, WSRD",D,,,,,,,
Daly's Traffic Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/681451ac7fa562d6ca2573a00005804d?OpenDocument,Fresh,21/01/2026 15:58,Daly's Traffic Pty Ltd,(03) 9399 9524,(03) 93999692,"5 Churchhill Street, WILLIAMSTOWN VIC 3016",Mr Alan littler,Operations Manager,0412 830 359,"""As Above"", &nbsp",tcarrick@daly.net.au,,,,,D,,,,,,,
Data Audit Systems Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4b8f35b6c0de8b5fca2580de001430b1?OpenDocument,Fresh,21/01/2026 15:58,Data Audit Systems Pty Ltd,1300 793 740,( 07 ) 3009 0032,"8 Champions Crescent, BROOKWATER QLD 4300",Mr Venu Duggappa -,Director,0421 556 465,"""As Above"", &nbsp",venu@dataaudit.com.au,,,"Traffic Data Collection: CCC - Classification Counts, COS - Observational Surveys, CSS - Speed Surveys, CTM - Turning Movements, CTT - Travel Time Counts","CCC, COS, CSS, CTM, CTT, TIME",D,,,,,,,
Davbridge Constructions**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/92bd8f8281a5d741ca25848d0019f5ad?OpenDocument,Fresh,21/01/2026 15:58,Davbridge Properties Pty Ltd,,,"60 Notar Drive, ORMEAU QLD 4208",Miss Renee Hend,Chief Financial Officer,,"""As Above"", &nbsp",headoffice@davbridge.com.au,,,,"B3, F050, R2",D,,,,,,,
David Lock Associates (Australia) Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/67f59658531fe70cca257c2900139d48?OpenDocument,Fresh,21/01/2026 15:58,David Lock Associates (Australia) Pty Ltd,(03) 9682 8568,,"Level 2/166 Albert Road, South Melbourne, VIC 3025",Ms Jessica Guirand,Assistant Planner,(03) 96821221,"""As Above"", &nbsp",jessicag@dlaaust.com,,,,"LAND, PSAD, PSAM, ST, USE",D,,,,,,,
"Davis, Naismith &amp; McGovern Pty Ltd",https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2ca22e227e1276ecca258a37000b60e4?OpenDocument,Fresh,21/01/2026 15:58,"Davis, Naismith & McGovern Pty Ltd",03 9870 3022,03 9870 2827,"43 Wantirna Road, RINGWOOD VIC 3134",Mr Anthony Askew,Director,0409 337 778,"""As Above"", &nbsp",anthony@dnmconsulting.com,,,,"H-SIMPLE, ROAD, RR, SH",D,,,,,,,
